fiscal_year,fiscal_quarter,quarter_end_date,dimension_type,dimension,revenue_musd
2019,Q1,2018-12-29,Category,iPhone,
2019,Q1,2018-12-29,Category,Mac,
2019,Q1,2018-12-29,Category,iPad,
2019,Q1,2018-12-29,Category,Wearables Home and Accessories,
2019,Q1,2018-12-29,Category,Services,10875
2019,Q1,2018-12-29,Geography,Americas,
2019,Q1,2018-12-29,Geography,Europe,
2019,Q1,2018-12-29,Geography,Greater China,
2019,Q1,2018-12-29,Geography,Japan,
2019,Q1,2018-12-29,Geography,Rest of Asia Pacific,
2019,Q2,2019-03-30,Category,iPhone,
2019,Q2,2019-03-30,Category,Mac,
2019,Q2,2019-03-30,Category,iPad,
2019,Q2,2019-03-30,Category,Wearables Home and Accessories,
2019,Q2,2019-03-30,Category,Services,
2019,Q2,2019-03-30,Geography,Americas,
2019,Q2,2019-03-30,Geography,Europe,
2019,Q2,2019-03-30,Geography,Greater China,
2019,Q2,2019-03-30,Geography,Japan,
2019,Q2,2019-03-30,Geography,Rest of Asia Pacific,
2019,Q3,2019-06-29,Category,iPhone,
2019,Q3,2019-06-29,Category,Mac,
2019,Q3,2019-06-29,Category,iPad,
2019,Q3,2019-06-29,Category,Wearables Home and Accessories,
2019,Q3,2019-06-29,Category,Services,
2019,Q3,2019-06-29,Geography,Americas,
2019,Q3,2019-06-29,Geography,Europe,
2019,Q3,2019-06-29,Geography,Greater China,
2019,Q3,2019-06-29,Geography,Japan,
2019,Q3,2019-06-29,Geography,Rest of Asia Pacific,
2019,Q4,2019-09-28,Category,iPhone,
2019,Q4,2019-09-28,Category,Mac,
2019,Q4,2019-09-28,Category,iPad,
2019,Q4,2019-09-28,Category,Wearables Home and Accessories,
2019,Q4,2019-09-28,Category,Services,
2019,Q4,2019-09-28,Geography,Americas,
2019,Q4,2019-09-28,Geography,Europe,
2019,Q4,2019-09-28,Geography,Greater China,
2019,Q4,2019-09-28,Geography,Japan,
2019,Q4,2019-09-28,Geography,Rest of Asia Pacific,
2020,Q1,2019-12-28,Category,iPhone,
2020,Q1,2019-12-28,Category,Mac,
2020,Q1,2019-12-28,Category,iPad,
2020,Q1,2019-12-28,Category,Wearables Home and Accessories,
2020,Q1,2019-12-28,Category,Services,
2020,Q1,2019-12-28,Geography,Americas,
2020,Q1,2019-12-28,Geography,Europe,
2020,Q1,2019-12-28,Geography,Greater China,
2020,Q1,2019-12-28,Geography,Japan,
2020,Q1,2019-12-28,Geography,Rest of Asia Pacific,
2020,Q2,2020-03-28,Category,iPhone,28962
2020,Q2,2020-03-28,Category,Mac,5351
2020,Q2,2020-03-28,Category,iPad,4368
2020,Q2,2020-03-28,Category,Wearables Home and Accessories,6284
2020,Q2,2020-03-28,Category,Services,13348
2020,Q2,2020-03-28,Geography,Americas,
2020,Q2,2020-03-28,Geography,Europe,
2020,Q2,2020-03-28,Geography,Greater China,
2020,Q2,2020-03-28,Geography,Japan,
2020,Q2,2020-03-28,Geography,Rest of Asia Pacific,
2020,Q3,2020-06-27,Category,iPhone,26418
2020,Q3,2020-06-27,Category,Mac,7079
2020,Q3,2020-06-27,Category,iPad,6582
2020,Q3,2020-06-27,Category,Wearables Home and Accessories,6450
2020,Q3,2020-06-27,Category,Services,13156
2020,Q3,2020-06-27,Geography,Americas,27018
2020,Q3,2020-06-27,Geography,Europe,14173
2020,Q3,2020-06-27,Geography,Greater China,9329
2020,Q3,2020-06-27,Geography,Japan,4966
2020,Q3,2020-06-27,Geography,Rest of Asia Pacific,4199
2020,Q4,2020-09-26,Category,iPhone,
2020,Q4,2020-09-26,Category,Mac,
2020,Q4,2020-09-26,Category,iPad,
2020,Q4,2020-09-26,Category,Wearables Home and Accessories,
2020,Q4,2020-09-26,Category,Services,
2020,Q4,2020-09-26,Geography,Americas,
2020,Q4,2020-09-26,Geography,Europe,
2020,Q4,2020-09-26,Geography,Greater China,
2020,Q4,2020-09-26,Geography,Japan,
2020,Q4,2020-09-26,Geography,Rest of Asia Pacific,
2021,Q1,2020-12-26,Category,iPhone,
2021,Q1,2020-12-26,Category,Mac,
2021,Q1,2020-12-26,Category,iPad,
2021,Q1,2020-12-26,Category,Wearables Home and Accessories,
2021,Q1,2020-12-26,Category,Services,
2021,Q1,2020-12-26,Geography,Americas,
2021,Q1,2020-12-26,Geography,Europe,
2021,Q1,2020-12-26,Geography,Greater China,
2021,Q1,2020-12-26,Geography,Japan,
2021,Q1,2020-12-26,Geography,Rest of Asia Pacific,
2021,Q2,2021-03-27,Category,iPhone,47938
2021,Q2,2021-03-27,Category,Mac,9102
2021,Q2,2021-03-27,Category,iPad,7807
2021,Q2,2021-03-27,Category,Wearables Home and Accessories,7836
2021,Q2,2021-03-27,Category,Services,16901
2021,Q2,2021-03-27,Geography,Americas,
2021,Q2,2021-03-27,Geography,Europe,
2021,Q2,2021-03-27,Geography,Greater China,
2021,Q2,2021-03-27,Geography,Japan,
2021,Q2,2021-03-27,Geography,Rest of Asia Pacific,
2021,Q3,2021-06-26,Category,iPhone,39570
2021,Q3,2021-06-26,Category,Mac,8235
2021,Q3,2021-06-26,Category,iPad,7368
2021,Q3,2021-06-26,Category,Wearables Home and Accessories,8775
2021,Q3,2021-06-26,Category,Services,17486
2021,Q3,2021-06-26,Geography,Americas,35870
2021,Q3,2021-06-26,Geography,Europe,18943
2021,Q3,2021-06-26,Geography,Greater China,14762
2021,Q3,2021-06-26,Geography,Japan,6464
2021,Q3,2021-06-26,Geography,Rest of Asia Pacific,5395
2021,Q4,2021-09-25,Category,iPhone,
2021,Q4,2021-09-25,Category,Mac,
2021,Q4,2021-09-25,Category,iPad,
2021,Q4,2021-09-25,Category,Wearables Home and Accessories,
2021,Q4,2021-09-25,Category,Services,
2021,Q4,2021-09-25,Geography,Americas,
2021,Q4,2021-09-25,Geography,Europe,
2021,Q4,2021-09-25,Geography,Greater China,
2021,Q4,2021-09-25,Geography,Japan,
2021,Q4,2021-09-25,Geography,Rest of Asia Pacific,
2022,Q1,2021-12-25,Category,iPhone,71628
2022,Q1,2021-12-25,Category,Mac,10852
2022,Q1,2021-12-25,Category,iPad,7248
2022,Q1,2021-12-25,Category,Wearables Home and Accessories,14701
2022,Q1,2021-12-25,Category,Services,19516
2022,Q1,2021-12-25,Geography,Americas,
2022,Q1,2021-12-25,Geography,Europe,
2022,Q1,2021-12-25,Geography,Greater China,
